,count,hate_speech,offensive_language,neither,class,tweet
841,3,0,0,3,2,#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!
842,3,0,0,3,2,#iubb #1 suiting up again tonight! #Indiana #IU #ncaa #hoosierdaddy #HoosierNation #hoosiers
848,3,0,0,3,2,#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook 
849,3,0,0,3,2,#mt #goauche #monkey #oldpainting #vinyl #jazz #lounge 
850,3,0,0,3,2,#mt browngal #gouache #monkey #tiki 
853,3,0,0,3,2,#np Shy Glizzy - Awwsome (Remix) (Feat. 2 Chainz  A$AP Rocky) via 
856,3,0,0,3,2,#philhughes #nyy better then UR whole team
905,3,0,0,3,2,#portlandia #putabirdonit RT The Xbox One would be so much cooler if they put a bird on it
909,3,0,0,3,2,"#rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown!"
915,3,0,0,3,2,#tbt when i took my likkle monkey jimmys 
918,3,0,0,3,2,#tikiti - rough mock for the base of what will eventually be an ashtray @ Tiki Ti 
933,3,0,0,3,2," RT ""Killer line?"" Josh Smith dropped a killer trash talk line on Kenneth "
936,3,0,0,3,2, plus Sheryl crow 
938,3,0,0,3,2, its true that the early bird.. gets the worm first!
977,3,0,0,3,2, maaaaannnn i hope so! RT did we get rid of John Legend looking Charlie Batch?
978,3,0,0,3,2, mike calls me t-bird @mikemastroccco
1017,3,0,0,3,2,"

i guess ill just trash this drawing because of roster changes... "
1020,3,0,0,3,2, my nerves are being worked cos of my monkey 
1029,3,0,0,3,2, monkey mad
1067,3,0,0,3,2,lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... 
1069,3,0,0,3,2,Chillin With My Homie Or Whats Left Of Him: British Rapper Turned ISIS Jihadi Poses With Severed Head  #tcot
1087,3,0,0,3,2,Truth about any distance for all you love birds out there! 
1088,3,0,0,3,2,"Frogger, best game ever only cuz You suck at flappy bird"
1091,3,0,0,3,2,Orton is trash idc he ain't been playing. Trashlex Smith only sat out Kaep took his spot.
1093,3,0,0,3,2,Adderall had me killing two birds with one stone 
1102,3,0,0,3,2,Wtf is flappy bird are you kidding me
1108,3,0,0,3,2,RT #Yankees Michael Pineda in his next start..  @954Nole
1114,3,0,0,3,2,An itsy bitsy teeny weeny yellow pock-a-dot bikini Polk Ashton. Polk
1116,3,0,0,3,2,just got a new fish it's albino and I named him shaquita #yee bahaha
1134,3,0,0,3,2,So they really deleted flappy bird from the App Store cus someone killed themselves over it  foreal foreal ?? 
1137,3,0,0,3,2,Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales  man wtf
1148,3,0,0,3,2,Oxtails and yellow rice is blasphemy boneless
1168,3,0,0,3,2,Two of the best Yankees Derek Jeter and Joe Torre #JoeTorreDay  @jordan_luree
1201,3,0,0,3,2,And that's why mock drafts are a joke my friends.....Anyone???
1206,3,0,0,3,2,Oreo cookies  
1222,3,0,0,3,2,What will the Lakers be after kobe trash
1240,3,0,0,3,2,Islamic State suspects in Indonesia are Chinese Uighurs  Jihadis: they're not just a PRC tool.
1277,3,0,0,3,2,Lakers really trash.
1297,3,0,0,3,2,Golden Oreos  regular Oreos  YES!!!
1298,3,0,0,3,2,Oreos are basically dirt circles with cream. True.
1308,3,0,0,3,2,where am I on this rating scale??? Depends. You still wearing them colored contacts or naw?
1319,3,0,0,3,2,Kit Kat brownies.  making.
1320,3,0,0,3,2,Bruh RT Trent took the yellow path 
1343,3,0,0,3,2,Uncle Charlie just got thru lip singing?!haha
1344,3,0,0,3,2,When twitter rappers dm me their trash links 
1347,3,0,0,3,2,"A lot of them are though. Attitudes be pure trash

#TeamWhiteGirls 
#SwirlTheWorld"
1361,3,0,0,3,2,"If Howard elbow bosh, will bosh fight back? don't have to got mcbob bird and UD"
1369,3,0,0,3,2,An inning and a half away from Alex Rodriguez being eligible to play. Just a thought. #Yankees #MLB OMG. Feel an ulcer.
1405,3,0,0,3,2,When you open your starburst candy and get 2 yellows  lmao bruh
1422,3,0,0,3,2,MMMH Daily is out!  Stories via #yellow is IN!  luv the bling!
1469,3,0,0,3,2,"I survived swine flu, bird flu, west nile and the Bloomberg administration. I'll be finethe abortion survival. Cant 4get that"
1475,3,0,0,3,2,My leave out is trash  u sick
1496,3,0,0,3,2,When girls take my snap backs and beanies lol that's 35 dollars a hat and 40 for the AX beanieS I don't let them take it
1511,3,0,0,3,2,I just accidentally ate a pot brownie. I guess there goes my pledge of being drug free for life . lolz . Lmao #College
1514,3,0,0,3,2,How I feel when I'm throwing trash away...  everyday in school.
1520,3,0,0,3,2,Oreos And Milk 
1544,3,0,0,3,2,"I find myself wanting to google ""the yellow king"" #TrueDetective No kidding! What is going on?"
1566,3,0,0,3,2,Adam Jones homers Yankees now lead 5-3.Guy is a monsta
1591,3,0,0,3,2,"COLT MCCOY WINS
#HookEm he's still trash"
1601,3,0,0,3,2, is this trash...
1608,3,0,0,3,2,#SingleBecause ill find a cute hoosier to date next year  @connorbradley
1615,3,0,0,3,2,"#Yankees and Red Sox are scoreless as we play in the 2nd inning.
THE BAMBINO IS WATCHING!"
1616,3,0,0,3,2,"Alfredo Aceves in to relieve here in the 4th. #Yankees he needs to go away , gas can !"
1617,3,0,0,3,2,Cavs trash.. Heat trash.. Smhpat gotta make trades
1620,3,0,0,3,2,Oreo ice cream cake   
1648,3,0,0,3,2,My Lakers are going to be so trash this season I can't wait  :(
1696,3,0,0,3,2,83 you're really cool you're good at basketball. And your a zebra  is this @WillBall4Life?
1710,3,0,0,3,2,I hate when I attempt to make the yellow light but the car infront of me stops at the light  I be wanting to fight
1728,3,0,0,3,2,#CHUCKSTRONG #GoldSwagger  thats awesome + #hoosiers
1770,3,0,0,3,2,Yankees will never have someone wear a single digit uniform again after this season Wow. Shows that is an epic organization
1776,3,0,0,3,2,Sick of all the trash talk and cocky attitudes. #shutupandplay Refs have to take control when needed
1777,3,0,0,3,2,twitpic a selfie with light colored eyes 
1784,3,0,0,3,2,thats my fav part on Take Carewhole album trash
1788,3,0,0,3,2,All I see in every #IfTheyGunnedMeDown tweet...  be like da colored Brady Bunch
1805,3,0,0,3,2,eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense #StopIt
1834,3,0,0,3,2,"Too bad the optimism I have for the Royals, you don't have for the Twins!! Take those ""Rose(ie) colored glasses off"
1869,3,0,0,3,2,If you used the ObamaCare website you should definitely change your password  hahahahahah that's sad #boon
1902,3,0,0,3,2,I'm only back cause I don't wanna see the boys lose to trash #vote5sos
1910,3,0,0,3,2,The fruit of the modern Yankees farm system.  Joba the Nut.
1924,3,0,0,3,2,Essence Fest anyone? I'll be there on the main stage 2 stepping with Uncle Charlie
1932,3,0,0,3,2,Charlie Strong WILL have Texas back as a power better power of big 12 is anybody's now
1946,3,0,0,3,2,Car hopping is a different world these ghetto guys tried asking for my number LOL did they have to be ghetto Tho ?
1951,3,0,0,3,2,"On the east coast there's colored hair everywhere. 

This must be the sweetest wave ever. @LayaFace"
1952,3,0,0,3,2,B Oreo a stuntcome thru 
1960,3,0,0,3,2,I feel sorry for anyone who paid for LIC because edc is trash music
1965,3,0,0,3,2,"There is a time  a place 4 decaf coffee. Never  in the trash.""  #MommyMonday humor via  @theskimm"
1966,3,0,0,3,2, BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA 718-622-0221 - 24 
1967,3,0,0,3,2, BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA 718-622-0221 - 24 
1968,3,0,0,3,2, BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA 718-622-0221 - 24 
1969,3,0,0,3,2, BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA 718-622-0221 - 24 
1970,3,0,0,3,2, BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA 718-622-0221 - 24 
1972,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1973,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1974,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1975,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1976,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1977,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1978,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1979,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1980,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1981,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1982,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1983,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1984,3,0,0,3,2, BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA  718-622-0221 - 24 
1985,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT ! 
1986,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT ! 
1987,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT ! 
1988,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT ! 
1989,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT ! 
1990,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT !/ 
1991,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT !/ 
1992,3,0,0,3,2,GRAND OPENING ! TOP CLASS  Oriental Massage  PERFECT !/ 
2010,3,0,0,3,2,when it's yellow outside
2011,3,0,0,3,2,-- nudes are trash
2126,3,0,0,3,2,'2' good: Jeter hero for Yankees in send-off  via @ESPNNewYork
2131,3,0,0,3,2,"'Forget to salute,' trash the other guy for the 'bad war' (during Cairo II), sympathize w/ 'Pockistan,' gays hurting morale. Thanks King!"
2132,3,0,0,3,2,"'Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry "
2135,3,0,0,3,2,(U-turns on yellow) NO ACEPTAR ESTE LUZ ROJO! ( Lights taking too long make me bilingual )
2136,3,0,0,3,2,(con't) Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.
2138,3,0,0,3,2,(via Charlie Angus is sending Made in China Canadian flag pins back to Conservatives  
2143,3,0,0,3,2,*Searches my yellow pages app for the nearest Jack In The Box*
2157,3,0,0,3,2,*rubs hands like bird man
2159,3,0,0,3,2,"*squak squak squak squak*
Me: bird shut up!!!
*squak*
Alex: that was an act of defiance 
@Alextalksback"
2160,3,0,0,3,2,*waits for Fanduel to hit me with the jig*
2179,3,0,0,3,2,".Yes indeed! Camels, ostriches and zebras! Sept. 5-7  #VCCamelRaces"
2180,3,0,0,3,2,.loves Austin:  Webber such a boon for #6HCOTA
2182,3,0,0,3,2,.is running around town delivering food to people. If he takes out the trash too he is the perfect boyfriend.
2183,3,0,0,3,2,".Could you just play 2 minutes of the Charlie Brown ""wah wah wah"" adult sound effect instead?"
2184,3,0,0,3,2,.doesnt it always feel like we go into the season with offensive concepts that we inevitably trash and then we get good?
2186,3,0,0,3,2,".[street birds]: Homeless People Twittering in Amsterdam  via @HuffPostImpact
"
2188,3,0,0,3,2,.Try visiting at night for a real spook!
2189,3,0,0,3,2,".Thank you, Dawn. I see our state bird graces your avatar..."
2191,3,0,0,3,2,.could be wearing a trash bag and she'd still be the stylish and coolest human I know
2192,3,0,0,3,2,.Al Qaeda's market share is dropping faster than Viacom  Enron in the Jihadi stock market
2202,3,0,0,3,2,"1) RT no I'm not crossed eyed, I'm albino. Can't control that"
2208,4,0,0,4,2,"10 RT 1.5 RT On average, 2. But I can be an 8 when need be. ""On a scale of 1-10 how ghetto are u?"""
2222,3,0,0,3,2,1996 and 1999 World Series Rematch: #Yankees #Braves
2223,3,0,0,3,2,1X - The yellow tower by Gilbert Claes 
2226,3,0,0,3,2,2 #iubb games when im in #bloomington #btown how good is that?! #ncaa #basketball #college #Indiana #iu #hoosiers
2227,3,0,0,3,2,2 adult human skulls found in trash 
2239,3,0,0,3,2,22 talented drivers RT I am really glad there haven't been any yellows. But why haven't there been any yellows??
2256,3,0,0,3,2,"420

moke up"
2261,3,0,0,3,2,"5 bags of chips, 3 Rice Krispies, 3 seeds, 3 gummies, a pop tart, some crackers, 3 powerades, and a water yuhhh I'm good lol"
2263,3,0,0,3,2,5:40 A.M. and still awake! YAY!!! Time to chug coffee and red bull for the foreseeable future and hopefully not pass out behind the wheel!!!
2264,3,0,0,3,2,5SOS is trash
2265,3,0,0,3,2,"5am: Whizzing crackers! My cats got into the  are now playing 'hockey' with them. Lol.
#crazycats "
2276,3,0,0,3,2,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? 
2277,3,0,0,3,2,85 species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? 
2280,3,0,0,3,2,"93 feature car

1 of 1503 yellow and black feature car. buck tag is on the radiator support. 67,3xx miles,... "
2283,3,0,0,3,2,99 percent of the trash we dump in the sea is missing. This is not a good thing   
2286,3,0,0,3,2,":) ""At some point, we need to discuss how delicious the vegan brownie from on u St. tastes!"""
2301,3,0,0,3,2,Hard to QA? Time is also a pain to mock out in unit tests...
2305,3,0,0,3,2,"#BlessJesus Yes,#Felt..and touched the soles of the humanity with stains and impressions that only leaves its reflections."
2307,6,0,0,6,2,#HolySpirit God still share HIS #Secrets Amos 3:7 blessings #Jesus
2308,3,0,0,3,2,#Jesus Genesis 2:19 Out of the ground the LORD God formed every beast of the field and every #bird of the sky #Initiating
2323,9,0,0,9,2,I wonder what Charlie Brown would have to say about these days.
2334,3,0,0,3,2,reminds me of Oreos lmao
2345,3,0,0,3,2,I laugh Oreos and lady gaga on a Sunday day
2346,3,0,0,3,2,yeah I run over squirrels and coons
2350,3,0,0,3,2,Just watched the Llewyn Davis doc. Warm fuzzies abound 
2362,3,0,0,3,2,you're not ghetto tho. You can live in the hood and not be ghetto #facts
2372,3,0,0,3,2,I like my gross yellow heat lamps. Why?
2374,3,0,0,3,2,clams to be a comedy writer. #untrue
2377,4,0,0,4,2,I may have just cried a tad #illmissu shiner
2380,3,0,0,3,2,no ghetto names 
2385,3,0,0,3,2,"Big congrats to all! I expect him to be blogging on rube chat in a few days! Now get some sleep, you will need it!"
2399,3,0,0,3,2,"Please stay safe you guys! I love you so much, I hoe to one day meet you guys! happy Halloween :)"
2415,3,0,0,3,2,"I like them dark, light, Carmel, white, red, tan, yellow, blue, purple, green. It doesnt matter what color they are"
2416,3,0,0,3,2,just remember to keep the skirt dark colored. It camouflages all that pan dimensional gore
2426,3,0,0,3,2,don't feel like reading right now I wanna give a sexy coolie girl some lyrics via text message ;-)
2437,3,0,0,3,2,Congrats Amos! :)
2446,3,0,0,3,2,"That's a nice color combo too, love the blue and yellow."
2448,3,0,0,3,2,the distant chugs at the end of Dried Up... remain to be some of the most perfectly heavy guitars ever recorded.
2457,3,0,0,3,2,lucky monkey
2466,3,0,0,3,2,Well you got to see pom-pom Pete
2490,3,0,0,3,2,Jeff Luhnow is to blame for the Astros not blowing out the Red Sox and Yankees -HC
2497,3,0,0,3,2,either way both schools are trash 
2505,3,0,0,3,2,I miss you!!! *Eating as we speak* I miss you red bone and that cooking !!
2528,3,0,0,3,2,Time for Ranger scouts to head out and watch some Yankee prospects. #rangers
2549,3,0,0,3,2,Biden was a winner last night? Yea right like Charlie Sheen Really was a a winner too.... #winning lol
2564,3,0,0,3,2,whoever made this twitter doesnt like the Lakers... they r making a comeback but this accnt still continues to trash talk em
2572,3,0,0,3,2,"alas, I am proficient in neither. my skills are limited to pointless stat memorization + trash talk."
2588,3,0,0,3,2,deserved victory! #Elite8 awaits your #Orange army. #Sweet16 was no disgrace #collegehoops ill be back next time #hoosiers
2595,3,0,0,3,2,happy birthday you dirty little bird  tear it up 
2599,3,0,0,3,2,Or as I like to put it 'looking through race colored glasses' @Kel_Antoinette8
2618,3,0,0,3,2,well that's some cracker jack secret service work there. jfk anyone?
2626,3,0,0,3,2,chicken fried steak it is boys mash potatoes gravy green beans corn an ice cream an brownies for after
2628,3,0,0,3,2,thanks Hun! Haha
2646,3,0,0,3,2,I have never once in my life been to a 'coffee shop' like Starbucks. I am a hick though.
2648,3,0,0,3,2,pearl jam: yellow Ledbetter
2649,3,0,0,3,2,There's a reason why the Yankees don't want Anderson any longer.
2650,3,0,0,3,2,I've had shots go off where yellow smoke
2652,3,0,0,3,2,they trash
2673,3,0,0,3,2,"I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too."
2685,3,0,0,3,2,my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.
2686,3,0,0,3,2,"ja moest van plisie niet meteen wild gaan denken.Juistja,willen wel meer mensen mij vertellen hoe k moet denken"
2698,3,0,0,3,2,"ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc"
2699,3,0,0,3,2,we gunna laff at Chava/Rubio beaner supporters in a min
2711,3,0,0,3,2,Huh.....last 10 games..Tampa 8-2/Balt 7-3/Yanks 6-4...and they lost their best pitcher. Please explain your logic.
2712,3,0,0,3,2,Sounds like they are holding back info.......Yankee shill
2714,3,0,0,3,2,That game winning hit in Thursday capped a great career. The guy is a 1st ballot HOF. Or else.
2716,3,0,0,3,2,Eating a roasted potato and smiling till my cheeks are sore; the crow SFX in this Cape Crisis are super-great
2718,3,0,0,3,2,tx trash your show was a disgrace this AM engaging w disrespecting the President
2721,3,0,0,3,2,there isn't a green one either. There's red and yellow in that pic...
2753,3,0,0,3,2,"no , a pop wop "
