term,vocabulary_id,hateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,plural_of,variant_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings
gypoes,HBT8LPDiC,,False,,,gypo,gypos,False,True,False,False,False,False,False,0
gooky eyes,soUDwjTpk,,False,,,,gook eyes,False,True,False,False,False,False,False,1
gooklets,uDVwuXLbi,,False,,96.0,gooklet,gook,False,True,False,False,False,False,False,0
gooklet,MHqMsGDUB,,False,,75.0,,gook,False,True,False,False,False,False,False,0
gookettes,hvHEkesvW,,False,,,gookette,gook,False,True,False,True,False,False,False,2
gookette,GTfRPDnWk,,False,,100.0,,gook,False,True,False,False,False,False,False,0
gook eyed,cNex4ZaCh,,False,,,,gook eyes,False,True,False,False,False,False,False,0
ghetto monkeys,NhwQUP9Hg,,False,,,ghetto monkey,,False,True,False,False,False,False,False,3
ghetto monkey,riyCcVeuu,,False,,,,porch monkey,False,True,False,False,False,False,False,5
filthypinos,9Tbjnfbjc,,False,,,filthypino,,True,False,False,False,False,False,False,2
filthypinoes,ahoDNdRbm,,False,,50.0,,filthypinos,True,False,False,False,False,False,False,0
filthypino,nJXyLAJPa,A portmanteau of the word 'filthy' and 'Filipino',False,,100.0,,,True,False,False,False,False,False,False,0
deminigger,xpzmtaysc,,False,,100.0,,seminiggers,False,True,False,False,False,False,False,0
deminiggers,P6zCCm9iW,,False,,,deminigger,,False,True,False,False,False,False,False,0
seminigger,mngQLBoHf,,False,,,,sand nigger,False,True,False,False,False,False,False,0
seminiggers,TQzKRXetW,,False,,,seminigger,,False,True,False,False,False,False,False,0
canniglets,VZZmYnYuJ,,False,,44.0,canigglet,,True,True,False,False,False,False,False,0
canigglet,p9fWmsroo,,False,,44.0,,canigger,True,True,False,False,False,False,False,0
caniggers,nQDqrqYkr,,False,,,canigger,,True,True,False,False,False,False,False,0
canigger,BDRxjhmjx,"Combination of ""Canadian"" and ""Nigger""",False,,100.0,,,True,True,False,False,False,False,False,0
cairo coons,xoN9ZyHBQ,,False,,,cairo coon,,True,True,False,False,False,False,False,0
cairo coon,ypirmXBvE,,False,,,,sand nigger,True,True,False,False,False,False,False,0
bushniglets,kAQVNHGsZ,,False,,,bushniglet,,False,True,False,False,False,False,False,0
bushniglet,p4WtmrY9q,,False,,,,bushnigger,False,True,False,False,False,False,False,0
bushniggers,ukssEgvww,,False,,68.0,bushnigger,,False,True,False,False,False,False,False,0
bushnigger,Pxmt8yfmv,Referring to North American Aboriginals specifically,False,,84.0,,,False,True,False,False,False,False,False,0
bush bandits,vmudnDokA,,False,,,bush bandit,,False,True,False,False,False,False,False,1
bush bandit,Ln4hCRsTN,Referring to North American aboriginals,False,,88.0,,,False,True,False,False,False,False,False,3
border bandits,ZfqCyhVKw,,False,,,border bandit,,True,True,False,False,False,False,False,0
border banditos,KyboRTCwd,,False,,,border bandito,,True,True,False,False,False,False,False,0
border bandit,hTJhDMqdr,,False,,,,border jumpers,True,True,False,False,False,False,False,1
border banditoes,dwDmDCXij,,False,,,,border banditos,True,True,False,False,False,False,False,0
african't,gT9FTdniK,A lazy or unemployed black person.,False,,75.0,,,False,True,False,False,False,False,True,0
african'ts,hVan9PHKD,,False,,75.0,african't,,False,True,False,False,False,False,True,0
WASPy,fqyEdwXg2,"Having the stereotypical characteristics of a white, anglo-saxon protestant",False,,38.0,,WASP,False,True,False,False,False,False,False,99
Uncle Tom,T67WEnanA,A black person perceived as behaving in a subservient manner to white authority figures.,False,,80.0,,,False,True,False,False,False,False,False,4721
jewtarded,AfUHKcKtu,The combination of 'jew' and 'retarded',True,,98.0,,jewtard,False,True,True,False,False,True,False,1
jigaboo,7e7d4zV6R,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",True,,99.0,,,False,True,False,False,False,False,False,2465
jewtard,m3hnwsCjb,The combination of 'jew' and 'retard',True,,99.0,,,False,True,True,False,False,True,False,14
cunt,Dnx4Amkhr,"[1] Comparing someone (usually Male) to female genitalia. A variant of ""pussy"", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone, while in Canada it is widely seen to be highly offensive.",False,,90.0,,,False,False,False,True,False,False,False,2
twat,kTfx93ZPU,"An idiot or offensive person, generally male, who is being compared to female genitalia",False,,41.0,,,False,False,False,True,False,False,False,0
spicks,U7LZHsdGq,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",False,,75.0,spick,,False,True,False,False,False,False,False,147
mud ducks,wWQcHVUcD,White supremacist term for a black person.,False,,,mud duck,,False,True,False,False,False,False,False,135
mangia cakes,kohiUCEH9,"A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian, literally 'cake eater'). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.",False,,,mangia cake,,False,True,False,False,False,False,False,2
lawn jockeys,Uvp8LRYkF,"A black person, from the traditional statue.",False,,,lawn jockey,,False,True,False,False,False,False,False,0
limey,rg2Jxq9YD,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,False,,40.0,,,True,False,False,False,False,False,False,1730
limeys,KnpraUMwu,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,False,,,limey,,True,False,False,False,False,False,False,235
honky,QZ679UmzV,"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",False,,57.0,,,False,True,False,False,False,False,False,947
honkey,KCqZGT3G7,"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",False,,50.0,,honky,False,True,False,False,False,False,False,2958
hebes,PZTMUJ8RT,"A Jewish person, derived from the word 'Hebrew'.",False,,,hebe,,False,True,True,False,False,False,False,30
hillbillies,nzfojxxfi,"A rural person, particularly Americans of Appalachia or Ozark heritage.",False,,,hillbilly,,False,False,False,False,False,False,False,279
hayseed,Gj2Tgd8ky,A rural person.,False,,74.0,,,False,False,False,False,False,False,True,2560
half breeds,4l7EuPtJs,One who is of mixed race.,False,,,half breed,,False,True,False,False,False,False,False,35
greaseball,eTHuefz6U,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,False,,74.0,,,True,True,False,False,False,False,False,0
gypped,EGjLcktxh,"To be cheated or stolen from, derived from 'gypsy'",False,,50.0,gyp,,False,True,False,False,False,False,False,187
gyp,4vMX4H94C,"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",False,,70.0,,gyppo,False,True,False,False,False,False,False,873
dot heads,tyCaffrTB,"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",False,,84.0,dot head,,True,True,False,False,False,False,False,10
whores,iqohsptWa,A prostitute or promiscuous individual,False,,,whore,,False,False,False,True,False,False,False,267
whore,Rk8sTdhtR,A prostitute or promiscuous individual,False,,80.0,,,False,False,False,True,False,False,False,245
mammy,ojNnsgrQr,Derogatory term referring to a stereotypical African-American woman,False,,90.0,,,False,True,False,True,False,False,False,39
muslamic,NLQHVY4Qc,Derogatory portmanteau of Muslim and Islamic,False,,66.0,,,False,False,True,False,False,False,False,217
gypsy,gfWHTxo4j,Derogatory term for the Roma people,False,,75.0,,,False,True,False,False,False,False,False,58
gypsies,dJLxoAvjZ,Derogatory term for the Roma people,False,,,gypsy,,False,True,False,False,False,False,False,111
gyps,MvADPbJMj,"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",False,,50.0,gyp,,False,True,False,False,False,False,False,22
yokels,MeRR8Jrz4,A rural person.,False,,50.0,yokel,,False,True,False,False,False,False,False,295
yokel,UH4bwMbby,A rural person.,False,,65.0,,,False,True,False,False,False,False,False,2682
yellow bone,A9XaRzmEu,[1] A black female with light skin. [2] A black female of mixed heritage.,False,,56.0,,,False,True,False,False,False,False,False,4862
red bone,GJVDK8bQk,[1] A black female with light skin. [2] A black female of mixed heritage.,False,,63.0,,yellow bone,False,True,False,False,False,False,False,1571
white trash,YT36NAWWa,A Caucasian of low class or limited income.,False,,50.0,,,False,True,False,False,False,False,True,3740
trailer trash,m4mvnT6wz,A Caucasian of low class or limited income.,False,,87.0,,white trash,False,True,False,False,False,False,True,4110
trailer park trash,v2ZHTtF96,A Caucasian of low class or limited income.,False,,79.0,,white trash,False,True,False,False,False,False,True,3953
shyster,3p8hGyt3A,"A dishonest person, particularly of Jewish decent.",False,,84.0,,,False,True,False,False,False,False,False,4527
shysters,YzueJdihc,"A dishonest person, particularly of Jewish decent.",False,,,shyster,,False,True,False,False,False,False,False,6
sheister,24VAMkA8v,"A dishonest person, particularly of Jewish decent.",False,,89.0,,shyster,False,True,False,False,False,False,False,889
sheisters,rnmkYvXgc,"A dishonest person, particularly of Jewish decent.",False,,,sheister,,False,True,False,False,False,False,False,4
peckerwood,g6ZVn3rX3,Used by southern African-Americans and upper class whites to denote poor rural whites. It is still used mostly by African-Americans in reference to white people.,False,,81.0,,,False,True,False,False,False,False,False,116
sheepfucker,Zwb4t2Xqv,"A rural person, particularly of Scottish or Welsh descent, who is alleged to have sex with sheep due to the scarcity of people in the vicinity",False,,87.0,,,True,False,False,False,False,False,True,48
niggah,YAxe6Qmnb,A black person.,False,,100.0,,nigger,False,True,False,False,False,False,False,3560
nigga,Bg4VZRV2r,A black person.,False,,87.0,,nigger,False,True,False,False,False,False,False,4664
niggahs,xGcfWggJT,A black person.,False,,100.0,niggah,,False,True,False,False,False,False,False,639
niggas,PmKNXxKBQ,A black person.,False,,,nigga,,False,True,False,False,False,False,False,502
newfies,xJmcWvobo,"A person from Newfoundland, often used to denote lack of intelligence.",False,,50.0,newfie,,False,False,False,False,False,False,False,30
newfie,HzqqYjX4H,"A person from Newfoundland, often used to denote lack of intelligence.",False,,54.0,,,False,False,False,False,False,False,False,10
hosers,azGHaVktZ,"In Canada, an unsophisticated person, Back when Hockey was played on frozen ponds and lakes the losers of the hockey game would have to hose the lakes to become clean, smooth ice.  Calling someone a “hoser” is really just calling them a loser.  From the practice of stealing gas with a hose and siphon.",False,,13.0,hoser,,True,False,False,False,False,False,True,42
hillbilly,Rnuwa2HCj,"A rural person, particularly Americans of Appalachia or Ozark heritage.",False,,72.0,,,False,False,False,False,False,False,False,3581
eurotrash,H3vTZbqkD,A European.,False,,93.0,,,False,True,False,False,False,False,False,2283
dyke,n8MFHJNtp,A lesbian.,False,,90.0,,,False,False,False,True,True,False,False,2835
slut,yZFjh7QNB,"A promiscuous person, usually applied to women",False,,79.0,,,False,False,False,True,False,False,False,151
sluts,TZPYYUHci,"A promiscuous person, usually applied to women",False,,100.0,slut,,False,False,False,True,False,False,False,172
spinks,kjaivqpf7,"Plural of ""spink"", a person of mixed Hispanic and Chinese parentage.",False,,88.0,,,True,True,False,False,False,False,False,16
mooks,ncFQWyxAf,[1] An Italian-American [2] An African-American,False,,50.0,mook,,True,True,False,False,False,False,False,20
mook,Bmv3c6EVq,[1] An Italian-American [2] An African-American,False,,68.0,,,True,True,False,False,False,False,False,0
krauts,qWheZhmUE,"A German, most specifically during World War II. From Sauerkraut.",True,,,kraut,,True,False,False,False,False,False,False,486
jiggs,mrzo7Mjj7,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",False,,,jigg,,False,True,False,False,False,False,False,12
jigg,z2TKWuqbG,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",False,,97.0,,jigaboo,False,True,False,False,False,False,False,25
jiggers,epVrZaAzA,"Variant of jiggaboo or jigabo, referring to a person of African descent.",False,,100.0,jigger,,False,True,False,False,False,False,False,52
jigger,j7U6mXQ4Q,"Variant of jiggaboo or jigabo, referring to a person of African descent.",False,,99.0,,,False,True,False,False,False,False,False,25
jiggas,oYBntDFU8,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",False,,,jigga,,False,True,False,False,False,False,False,95
jigga,MFub7bAmp,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",False,,97.0,,,False,True,False,False,False,False,False,342
hebe,whGkTYHh8,"A Jewish person, derived from the word 'Hebrew'.",False,,91.0,,,False,True,True,False,False,False,False,59
half breed,Gq7yurh9p,"One who is of mixed race, particularly half Native American and half European",False,,98.0,,,False,True,False,False,False,False,False,22
eshay,CdMMfZisd,"In Australia, an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery",False,,,,,True,False,False,False,False,False,True,64
eshays,gxyCXcKgB,"In Australia, an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery",False,,,eshay,,True,False,False,False,False,False,True,96
Gwats,Guai4dU4s,Short for Guatemalan.,False,,,Gwat,,True,False,False,False,False,False,False,1
Gwat,DkN6zFFDM,Short for Guatemalan.,False,,88.0,,,True,False,False,False,False,False,False,11
gub,E37jAAQje,"In Australia, Aboriginal pejorative term for white people.",False,,74.0,,,False,True,False,False,False,False,False,4
gubs,23ZNtZaPe,"In Australia, Aboriginal pejorative term for white people.",False,,,gub,,False,True,False,False,False,False,False,33
buffies,Kb4pwoNMZ,"[1] A black person. [2] a young, brown-skinned person 1940s-1950s",False,,,buffie,,False,True,False,False,False,False,False,0
pussy,vXuEGajT4,"[1] Pejorative word for female. [2] Pejorative word for male, meaning meek or cowardly.",False,,50.0,,,False,False,False,True,False,False,False,18
niggers,bWgz9jJed,A black person.,True,,100.0,nigger,,False,True,False,False,False,False,False,1079
nigger,3wfWp8aQB,A black person.,True,,99.0,,,False,True,False,False,False,False,False,5386
hoser,mdJWab62y,"In Canada, an unsophisticated person, Back when Hockey was played on frozen ponds and lakes the losers of the hockey game would have to hose the lakes to become clean, smooth ice.  Calling someone a “hoser” is really just calling them a loser.  From the practice of stealing gas with a hose and siphon.",False,CA,9.0,,,True,False,False,False,False,False,True,57
gorillla,1K4WevTca,This is a test word used for tracking data provenance. Please disregard.,False,,,,,False,True,False,False,False,False,False,0
meatball patriots,fWBTxFNUo,"An African or Arab who presumes to integrate into Swedish culture by eating Swedish meatballs, or a Swede who believes this represents integration. Used by Swedish nationalists and neo-Nazis to disparage immigration.",False,SE,72.0,meatball patriot,,False,True,False,False,False,False,False,0
meatball patriot,tUAzEbPuz,"An African or Arab who presumes to integrate into Swedish culture by eating Swedish meatballs, or a Swede who believes this represents integration. Used by Swedish nationalists and neo-Nazis to disparage immigration.",False,SE,,,,False,True,False,False,False,False,False,0
feminazis,kokvgU4zx,Concatenation of feminist and Nazi,False,,,feminazi,,False,False,False,True,False,False,False,13
feminazi,wvEjWhnhe,Concatenation of feminist and Nazi,False,,,,,False,False,False,True,False,False,False,22
6 gorillion,NXixHLfkN,A nonsensical number used by Neo-Nazis to claim that the Holocaust was faked.,False,,88.0,,,False,True,False,False,False,False,False,0
mocks,dtJwXKHcB,A Jewish person (first used in the 1930s).,False,,,mock,,False,True,False,False,False,False,False,0
injun,ZjKzmYq2m,"A Native American, from 'Indian'.",False,,88.0,,,False,True,False,False,False,False,False,369
Anglo Fool,UZTzzwzCJ,A stupid Anglo-Saxon,False,,58.0,,,False,False,False,False,False,False,True,0
boujees,fNF3GRCWN,,False,,,boujee,,False,False,False,False,False,False,True,0
boujee,EiYanJyn8,Slang for bourgeois,False,,,,,False,False,False,False,False,False,True,0
floppies,jkedcbraz,,False,,,floppy,,False,True,False,False,False,False,False,0
floppy,gcJbMVkVW,"An African.  Etymology is variously attributed to Zimbabwe or South Africa, and may have originated from floppy hats worn by laborers or the action of flopping down dead when shot.",False,,,,,False,True,False,False,False,False,False,0
nigger-rig,FZLzRqPbD,To poorly repair or assemble something,True,,98.0,,,False,True,False,False,False,False,False,11
half bred,WDZWQCEtL,,False,,,,half breed,False,True,False,False,False,False,False,0
gookies,UXQj23n9C,,False,,,gookie,,False,True,False,False,False,False,False,0
gookie,evC7urmnF,,False,,,,gook,True,True,False,False,False,False,False,0
goloids,VwHrhRGUZ,,False,,,goloid,,False,True,False,False,False,False,False,0
goloid,dGjYptxhd,"Abbreviation of ""mongoloid""",False,,,,,False,True,False,False,False,False,False,0
ginks,wrirPQbk9,,False,,,gink,,False,True,False,False,False,False,False,0
gink,ByToTroPs,"Combination of ""gook"" and ""chink""",False,,,,,False,True,False,False,False,False,False,0
gas huffers,pTAsUsQRV,,False,,,gas huffer,,False,True,False,False,False,False,False,0
gas huffer,n2rWujzuc,Alluding to substance abuse issues in the Aboriginal community.,False,,,,,False,True,False,False,False,False,False,0
featherheads,odoeqs8Cb,,False,,,featherhead,,False,True,False,False,False,False,False,0
featherhead,G8LcbzVdo,"Referring to North American Aboriginals in particular, owing to the use of feather head dresses.",False,,,,,False,True,False,False,False,False,False,0
border bandito,NNZFXe7NA,,False,,,,border bandits,True,True,False,False,False,False,False,0
boogats,JWwXZDXxJ,,False,,,boogat,,False,True,False,False,False,False,False,0
boogat,j6b9deGQz,"An equivalent to 'spook', relating to African-Americans.",False,,,,,False,True,False,False,False,False,False,0
dog eaters,qptiXqxr9,,False,,,dog eater,,False,True,False,False,False,False,False,0
dog eater,VQD4HVJBA,Conveys the idea that Asians consume dogs as part of their cuisine.,False,,,,,False,True,False,False,False,False,False,0
alboes,ggKpaAkDW,,False,,,albo,albos,True,True,False,False,False,False,False,0
albos,e9rsjiXqN,,False,,,albo,,True,True,False,False,False,False,False,0
albo,GUVgpiTXd,An Albanian,False,,,,,True,True,False,False,False,False,False,0
jipsi,ZabTbpGLF,,False,,50.0,,gypsy,False,True,False,False,False,False,False,0
gypsi,pAepZnvcQ,,False,,,,gypsy,False,True,False,False,False,False,False,0
Chad Thundercocks,eibckqkoC,,False,,,Chad Thundercock,,False,False,False,True,False,False,False,0
Chads,XbKGPZoQk,,False,,,Chad,,False,False,False,True,False,False,False,0
Chad Thundercock,4kDJJnKrH,,False,,,,Chad,False,False,False,True,False,False,False,0
Chad,dZNH1NRv6,"General pejorative term for an alpha male, subsequently appropriated by the incel movement",False,,,,,False,False,False,True,False,False,False,0
bimbo,us2wzoXkk,A vacuous woman,False,,25.0,,,False,False,False,True,False,False,False,66
himbo,jtbeyXztd,A vacuous man,False,,,,,False,False,False,True,False,False,False,251
machosexual,azHDvcnKn,An excessively masculine person,False,,,,,False,False,False,True,False,False,False,0
gopniks,fJs4txNxL,,False,,,gopnik,,False,False,False,False,False,False,True,63
skeets,dyTjfgaDh,,False,,,skeet,,False,False,False,False,False,False,True,0
skeet,gaJhnezMx,Lower class youth,False,,,,,False,False,False,False,False,False,True,0
dresiarz,shvUDDiey,,False,,,,dres,False,False,False,False,False,False,True,1
dres,EEZAjmc1q,,False,,,,,False,False,False,False,False,False,True,0
gopnik,GWjTXNZUM,,False,,,,,False,False,False,False,False,False,True,0
Freḥa,WFzUijXKQ,,False,,,,,False,False,False,False,False,False,True,0
arsit,UnqiwUWyv,,False,,,,ars,False,False,False,False,False,False,True,2
arsim,MmAo4cvLs,,False,,,ars,,False,False,False,False,False,False,True,11
ars,kriMMKYyy,,False,,50.0,,,False,False,False,False,False,False,True,0
Sloane Rangers,kRaUGPivZ,,False,,,Sloane Ranger,,False,False,False,False,False,False,True,6
Sloane Ranger,Y3ulapDfm,A fashionable upper class person,False,,,,,False,False,False,False,False,False,True,34
Hoorah Henriettas,JQERv8ibJ,,False,,,Hoorah Henrietta,,False,False,False,False,False,False,True,0
Hoorah Henrietta,nKsuXihdr,,False,,,,Hooray Henrietta,False,False,False,False,False,False,True,0
Hooray Henriettas,VPtQJrsQp,,False,,,Hooray Henrietta,,False,False,False,False,False,False,True,4
Hooray Henrietta,mRfhKaTQj,A boorish upper class person,False,,,,,False,False,False,False,False,False,True,7
Hoorah Henries,uu8tgcd2z,,False,,,Hoorah Henry,,False,False,False,False,False,False,True,0
Hoorah Henry,JcairmHoU,,False,,,,Hooray Henry,False,False,False,False,False,False,True,5
Hooray Henries,vpoUpAEkE,,False,,25.0,Hooray Henry,,False,False,False,False,False,False,True,12
Hooray Henry,h9atuijoF,A boorish upper class person,False,,25.0,,,False,False,False,False,False,False,True,44
toffs,vsbeKHBpu,,False,,,toff,,False,False,False,False,False,False,True,0
toff,3pkdabuxq,A person of aristocratic background who exudes an air of superiority,False,,,,,False,False,False,False,False,False,True,0
gey,gQNjvph8r,,False,,75.0,,gay,False,False,False,False,True,False,False,0
yellow cabs,icNsmUpkU,,False,,,yellow cab,,True,True,False,True,False,False,False,0
yellow cab,odvntD3ea,,False,,,,,True,True,False,True,False,False,False,0
lipstick lesbian,ssz8lLWtc,A lesbian with visible femininity,False,,,,,False,False,False,False,True,False,False,78
zhidovka,3ykCosrin,,False,,,,yid,False,True,False,False,False,False,False,0
zhydovka,dyw7QsBzb,,False,,,,yid,False,True,False,False,False,False,False,1
zhid,LWXHVWFPD,,False,,,,yid,False,True,False,False,False,False,False,13
zhyd,KMQkBaafh,,False,,,,yid,False,True,False,False,False,False,False,3
virago,rfjgxDvyX,A masculine woman,False,,,,,False,False,False,True,False,False,False,4
cock tease,pYGwFMvRH,A woman who tempts men,False,,,,,False,False,False,True,False,False,False,73
Beckies,eriebugnY,,False,,,Becky,,False,False,False,True,False,False,False,0
Beckys,axtiCRinu,,False,,,Becky,,False,False,False,True,False,False,False,0
Becky,PbuyeLsgd,A white woman,False,,,,,False,False,False,True,False,False,False,0
bull dykes,ndGyZCRqn,,False,,,bull dyke,,False,False,False,False,True,False,False,245
bull dyke,E6LKcHRUw,,False,,,,dyke,False,False,False,False,True,False,False,532
lavender mafia,TM7JUnRiV,,False,,,,gay mafia,False,False,False,False,True,False,False,0
velvet mafia,soQexlvax,,False,,25.0,,gay mafia,False,False,False,False,True,False,False,3
gay mafia,EQJnNXBjY,An alleged conspiracy of homosexuals to promote a gay agenda,False,,,,,False,False,False,False,True,False,False,54
Homintern,istxJxyzY,An alleged conspiracy of homosexuals to promote a gay agenda,False,,,,,False,False,False,False,True,False,False,4
batimen,ps1VLHGJU,,False,BZ,,batiman,,False,False,False,False,True,False,False,0
batiman,Zqpx34uuy,,False,BZ,,,batty boy,False,False,False,False,True,False,False,16
battymen,DmwDfmhEy,,False,BZ,,battyman,,False,False,False,False,True,False,False,62
battyman,RfgtBiyV7,,False,BZ,,,batty boy,False,False,False,False,True,False,False,166
chi chi bwoys,HjXaHzvKx,,False,JM,,chi chi bwoy,,False,False,False,False,True,False,False,0
chi chi bwoy,odcpPiArg,,False,JM,,,chi chi man,False,False,False,False,True,False,False,16
chi chi men,GUpfxMve8,,False,,,chi chi man,,False,False,False,False,True,False,False,2
chi chi man,ipabGpGnp,Homosexual,False,,,,,False,False,False,False,True,False,False,7
batty men,nVHW1WCRC,,False,JM,,batty man,,False,False,False,False,True,False,False,16
batty man,aabpvxHAi,,False,JM,,,batty boy,False,False,False,False,True,False,False,152
batty bwoys,ocPEJhfYN,,False,JM,,batty bwoy,,False,False,False,False,True,False,False,20
batty bwoy,rfw4vpVsQ,,False,JM,,,batty boy,False,False,False,False,True,False,False,100
batty boys,LidEmeroa,,False,JM,,batty boy,,False,False,False,False,True,False,False,128
batty boy,NxEfddMfB,A gay or effeminate man,False,JM,,,,False,False,False,False,True,False,False,283
papishers,QsnaAMAfZ,,False,,,papisher,,False,False,True,False,False,False,False,0
papisher,GmKWWPRUF,,False,,,,papist,False,False,True,False,False,False,False,0
gingettes,UqkkPYoJi,,False,,,gingette,ginger,False,True,False,False,False,False,False,0
gingette,ugngmeteR,,False,,,,ginger,False,True,False,False,False,False,False,0
good goys,uQcehfnto,,False,,,good goy,,False,True,False,False,False,False,False,34
gheys,KuEJLKbKi,,False,,75.0,ghey,gay,False,False,False,False,True,False,False,193
fruities,bcQKDmfhP,,False,,,fruity,fruit,False,False,False,False,True,False,False,104
flipettes,bfbyyhnw2,,False,,,flipette,flip,True,False,False,False,False,False,False,1
flipette,t8KvyckoK,,False,,,,flip,True,False,False,False,False,False,False,1
fagdicks,JJoXagZze,,False,,,fagdick,fag,False,False,False,False,True,False,False,0
fagdick,BftZArVwg,,False,,,,fag,False,False,False,False,True,False,False,0
fagshits,d7AETN2ea,,False,,,fagshit,fag,False,False,False,False,True,False,False,0
